,0
2023-06-23,-4.7535470034811365
2023-06-24,3.6087293211935214
2023-06-25,2.7400616387769134
2023-06-26,2.4699833989124604
2023-06-27,2.1414396025167597
2023-06-28,2.236156813240225
2023-06-29,4.091147018282726
2023-06-30,0.7176313812317932
2023-07-01,3.532436584531829
2023-07-02,2.1581328895996146
2023-07-03,3.100399042224365
2023-07-04,1.5578086449586133
2023-07-05,2.9243698898116754
2023-07-06,3.6001968974172667
2023-07-07,2.069547102715889
2023-07-08,2.261554790869713
2023-07-09,2.902573391557169
2023-07-10,2.2651765443938303
2023-07-11,3.1324804447152235
2023-07-12,2.3192638686105616
2023-07-13,2.3304407165343277
2023-07-14,2.494357530940235
2023-07-15,3.0205301031083636
2023-07-16,2.314743371638985
2023-07-17,2.9195520355696662
2023-07-18,2.0370504969624452
2023-07-19,2.8462676838336236
2023-07-20,2.9939360920940428
2023-07-21,2.5438824514065566
2023-07-22,2.2663230638243435
2023-07-23,2.8440466147767944
2023-07-24,2.328841248224383
2023-07-25,3.066254351165502
2023-07-26,2.385977214357162
2023-07-27,2.298317652732323
2023-07-28,2.6107396296834087
2023-07-29,2.9005932497929714
2023-07-30,2.3863007226722135
2023-07-31,2.839315223141984
2023-08-01,2.18706633855166
2023-08-02,2.787656229182337
2023-08-03,2.8749673955010646
2023-08-04,2.5812163547331632
2023-08-05,2.3406857829201995
2023-08-06,2.786950844276582
2023-08-07,2.392414086717549
2023-08-08,2.959466069447212
2023-08-09,2.4370354670475436
2023-08-10,2.3636553974945165
2023-08-11,2.6145367309149528
2023-08-12,2.8277450247614997
2023-08-13,2.4375403610424944
2023-08-14,2.782134410243408
2023-08-15,2.2866003905708068
2023-08-16,2.743064555634211
2023-08-17,2.807854096180445
2023-08-18,2.587431276275645
2023-08-19,2.402190340510382
2023-08-20,2.7425948485152025
2023-08-21,2.4418803895850885
2023-08-22,2.874245808995918
2023-08-23,2.4759498412191583
2023-08-24,2.419593189802393
2023-08-25,2.6116078988533538
2023-08-26,2.7735168401438792
2023-08-27,2.4763522187305806
2023-08-28,2.7388423521738057
2023-08-29,2.3614176231465542
2023-08-30,2.7090968822968264
2023-08-31,2.758337825341546
2023-09-01,2.590641334059352
2023-09-02,2.449379985802479
2023-09-03,2.708743682121973
